3180 Class 單字清單（中英文對照）

單字              詞性              中文意思                 英文意思
extraordinary     形容詞 adj.       非凡的、特別的、出色的     very unusual or remarkable
team              名詞 n.           團隊、隊伍               a group of people who work together
project           名詞 n.           專案、計畫               a planned piece of work
normal            形容詞 adj.       正常的、普通的           usual and expected
similar           形容詞 adj.       相似的、類似的           almost the same, but not exactly
connect           動詞 v.           連接、聯繫               to join two things or people together
explain           動詞 v.           解釋、說明               to make something clear or easy to understand
take care of      片語動詞 phr. v.  照顧、處理               to look after someone or something
produce           動詞 v.           生產、製造               to make or create something
communicate       動詞 v.           溝通、傳達               to share information, ideas, or feelings
typical           形容詞 adj.       典型的、有代表性的       having the usual qualities of a type
imaginary         形容詞 adj.       想像的、虛構的           not real, only in the mind
banal             形容詞 adj.       陳腐的、平庸的、老套的   boring because it is too common
contribute        動詞 v.           貢獻、促成               to give something to help a person, group, or result
skeleton          名詞 n.           骨骼、骨架               the bones that support a body
excavation        名詞 n.           挖掘、發掘               the act of digging to find something underground
grab              動詞 v.           抓住、搶拿               to take something quickly with your hand
skull             名詞 n.           頭骨、頭蓋骨             the bones of the head
laboratory        名詞 n.           實驗室                   a room where scientific tests and research are done
balance           名詞／動詞 n./v.  平衡；使平衡             a steady position, or to keep something steady
archaeological    形容詞 adj.       考古的、考古學的         related to the study of ancient cultures from ruins and objects
buried            形容詞／動詞過去分詞 adj./v.  被埋的、埋葬的   put under the ground and covered
forth             副詞 adv.         向前、往外               out into view, or forward in place or time
